job,case,method,family,schema,topology,topology_label,seed,spec,spec_label,metric,direction,target,measured,unit,passed,achievement,capped_achievement,normalized_margin
optimizer_only__five_transistor_ota_frontier_stress__seed_6,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,6,slew_rate,Slew rate,slew_rate,min,69330000.0,117914464.01069295,V/s,True,1.7007711526134857,1.5,0.7007711526134855
optimizer_only__five_transistor_ota_frontier_stress__seed_6,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,6,output_swing,Output swing,output_swing,min,0.8736,0.8704695,V,False,0.9964165521978021,0.9964165521978021,-0.0035834478021978433
optimizer_only__five_transistor_ota_frontier_stress__seed_6,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,6,power,Power,total_power,max,0.0002,0.0001313772,W,True,1.5223341645277872,1.5,0.34311400000000003
optimizer_only__five_transistor_ota_frontier_stress__seed_5,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,5,dc_gain,Gain,dc_gain_db,min,27.01,24.6022765,dB,False,0.9108580710847833,0.9108580710847833,-0.08914192891521669
optimizer_only__five_transistor_ota_frontier_stress__seed_5,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,5,unity_gain_bandwidth,UGBW,unity_gain_bandwidth,min,77530000.0,246966521.6879745,Hz,True,3.1854317256284603,1.5,2.1854317256284603
optimizer_only__five_transistor_ota_frontier_stress__seed_5,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,5,phase_margin,Phase margin,phase_margin,min,60.0,81.73088031086621,deg,True,1.3621813385144368,1.3621813385144368,0.36218133851443685
optimizer_only__five_transistor_ota_frontier_stress__seed_5,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,5,slew_rate,Slew rate,slew_rate,min,69330000.0,212677637.4777969,V/s,True,3.06761340657431,1.5,2.06761340657431
optimizer_only__five_transistor_ota_frontier_stress__seed_5,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,5,output_swing,Output swing,output_swing,min,0.8736,0.8642131999999999,V,False,0.9892550366300364,0.9892550366300364,-0.010744963369963528
optimizer_only__five_transistor_ota_frontier_stress__seed_5,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,5,power,Power,total_power,max,0.0002,0.000240126,W,False,0.8328960629003107,0.8328960629003107,-0.20063
optimizer_only__five_transistor_ota_frontier_stress__seed_8,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,8,dc_gain,Gain,dc_gain_db,min,27.01,24.5841048,dB,False,0.9101852943354313,0.9101852943354313,-0.08981470566456878
optimizer_only__five_transistor_ota_frontier_stress__seed_8,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,8,unity_gain_bandwidth,UGBW,unity_gain_bandwidth,min,77530000.0,229088676.17150733,Hz,True,2.9548391096544218,1.5,1.954839109654422
optimizer_only__five_transistor_ota_frontier_stress__seed_8,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,8,phase_margin,Phase margin,phase_margin,min,60.0,80.30558136993835,deg,True,1.338426356165639,1.338426356165639,0.3384263561656392
optimizer_only__five_transistor_ota_frontier_stress__seed_8,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,8,slew_rate,Slew rate,slew_rate,min,69330000.0,196210544.8486834,V/s,True,2.830095843771576,1.5,1.8300958437715764
optimizer_only__five_transistor_ota_frontier_stress__seed_8,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,8,output_swing,Output swing,output_swing,min,0.8736,0.8714046999999999,V,False,0.9974870650183149,0.9974870650183149,-0.0025129349816851213
optimizer_only__five_transistor_ota_frontier_stress__seed_8,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,8,power,Power,total_power,max,0.0002,0.0002213148,W,False,0.9036901282697769,0.9036901282697769,-0.1065739999999999
optimizer_only__five_transistor_ota_frontier_stress__seed_7,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,7,dc_gain,Gain,dc_gain_db,min,27.01,26.0932477,dB,False,0.9660587819326175,0.9660587819326175,-0.03394121806738254
optimizer_only__five_transistor_ota_frontier_stress__seed_7,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,7,unity_gain_bandwidth,UGBW,unity_gain_bandwidth,min,77530000.0,188144095.40992746,Hz,True,2.4267263692754732,1.5,1.4267263692754735
optimizer_only__five_transistor_ota_frontier_stress__seed_7,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,7,phase_margin,Phase margin,phase_margin,min,60.0,76.99470279367888,deg,True,1.2832450465613148,1.2832450465613148,0.2832450465613147
optimizer_only__five_transistor_ota_frontier_stress__seed_7,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,7,slew_rate,Slew rate,slew_rate,min,69330000.0,194039176.99510428,V/s,True,2.7987765324549874,1.5,1.7987765324549876
optimizer_only__five_transistor_ota_frontier_stress__seed_7,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,7,output_swing,Output swing,output_swing,min,0.8736,0.8767436,V,True,1.003598443223443,1.003598443223443,0.003598443223443124
optimizer_only__five_transistor_ota_frontier_stress__seed_7,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,7,power,Power,total_power,max,0.0002,0.0002164248,W,False,0.924108512517974,0.924108512517974,-0.08212399999999996
optimizer_only__five_transistor_ota_frontier_stress__seed_9,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,9,dc_gain,Gain,dc_gain_db,min,27.01,24.5432299,dB,False,0.9086719696408737,0.9086719696408737,-0.0913280303591263
optimizer_only__five_transistor_ota_frontier_stress__seed_9,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,9,unity_gain_bandwidth,UGBW,unity_gain_bandwidth,min,77530000.0,187490371.6482256,Hz,True,2.4182944879172656,1.5,1.4182944879172656
optimizer_only__five_transistor_ota_frontier_stress__seed_9,optimizer_only,Optimizer,baseline,inputs/ota_stress/frontier/five_transistor_ota_frontier_stress.yaml,five_transistor_ota,Five transistor,9,phase_margin,Phase margin,phase_margin,min,60.0,82.72406466102672,deg,True,1.378734411017112,1.378734411017112,0.3787344110171119
